name	formula	state	pwd_xyz	energy	Mass	Na	ID
C6H2	H2C6	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C6H2_1Sigma.xyz	-229.21267000000003	74.07988	8	NoFormulaMatching
C7H	H1C7	2Pi	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C7H_2Pi.xyz	-266.28592799999996	85.08274	8	NoFormulaMatching
HC6N	H1C6N1	3Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HC6N_3Sigma.xyz	-283.019429	87.07874	8	NoFormulaMatching
C8	C8	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C8_1Sigma.xyz	-303.816623	96.0856	8	NoFormulaMatching
C7N	C7N1	2Pi	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C7N_2Pi.xyz	-320.340957	98.0816	8	NoFormulaMatching
C6N2	C6N2	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C6N2_1Sigma.xyz	-337.386391	100.0776	8	NoFormulaMatching
C3H6	H6C3	1Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C3H6_1Ap.xyz	-117.685363	42.07914	9	NoFormulaMatching
CH3CH2OH	H6C2O1	1Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/CH3CH2OH_1Ap.xyz	-154.802697	46.06744000000001	9	NoFormulaMatching
CH3OCH3	H6C2O1	1A1	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/CH3OCH3_1A1.xyz	-154.783508	46.06744000000001	9	NoFormulaMatching
CH3CONH2	H5C2N1O1	1Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/CH3CONH2_1Ap.xyz	-208.899416	59.06630000000001	9	NoFormulaMatching
CH3C4H	H4C5	1Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/CH3C4H_1Ap.xyz	-192.450313	64.08485999999999	9	NoFormulaMatching
H2C7	H2C7	1A1	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/H2C7_1A1.xyz	-266.92186499999997	86.09058	9	NoFormulaMatching
C8H	H1C8	2Pi	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C8H_2Pi.xyz	-304.269066	97.09344	9	NoFormulaMatching
HC7N	H1C7N1	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HC7N_1Sigma.xyz	-321.051235	99.08944	9	NoFormulaMatching
C9	C9	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C9_1Sigma.xyz	-341.64507000000003	108.0963	9	NoFormulaMatching
CH3CH2C2H	H6C4	1Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/CH3CH2C2H_1Ap.xyz	-155.540596	54.08984	10	NoFormulaMatching
CH3CHCCH2	H6C4	1Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/CH3CHCCH2_1Ap.xyz	-155.543056	54.08984	10	NoFormulaMatching
C4H6	H6C4	1A1	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C4H6_1A1.xyz	-155.56506000000002	54.08984	10	NoFormulaMatching
C2H6CO	H6C3O1	1A1	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C2H6CO_1A1.xyz	-192.678827	58.07814000000001	10	NoFormulaMatching
CH3C5N	H3C6N1	1Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/CH3C5N_1Ap.xyz	-439.347195	89.09442	10	NoFormulaMatching
H2C8	H2C8	1A1	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/H2C8_1A1.xyz	-304.897579	98.10128	10	NoFormulaMatching
C8H2	H2C8	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C8H2_1Sigma.xyz	-304.97499799999997	98.10128	10	NoFormulaMatching
C9H	H1C9	2Pi	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C9H_2Pi.xyz	-342.239606	109.10413999999999	10	NoFormulaMatching
HC8N	H1C8N1	3Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HC8N_3Sigma.xyz	-358.977145	111.10014	10	NoFormulaMatching
C10	C10	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C10_1Sigma.xyz	-379.537187	120.10700000000001	10	NoFormulaMatching
C9N	C9N1	2Pi	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C9N_2Pi.xyz	-396.295274	122.103	10	NoFormulaMatching
C8N2	C8N2	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C8N2_1Sigma.xyz	-413.077751	124.09899999999999	10	NoFormulaMatching
CH3C6H	H4C7	1Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/CH3C6H_1Ap.xyz	-268.238156	88.10625999999999	11	NoFormulaMatching
H2C9	H2C9	1A1	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/H2C9_1A1.xyz	-342.869201	110.11198	11	NoFormulaMatching
C10H	H1C10	2Pi	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C10H_2Pi.xyz	-380.222363	121.11483999999999	11	NoFormulaMatching
HC9N	H1C9N1	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HC9N_1Sigma.xyz	-397.003808	123.11084	11	NoFormulaMatching
C11	C11	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C11_1Sigma.xyz	-417.532859	132.1177	11	NoFormulaMatching
C6H6	H6C6	1A1	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C6H6_1A1.xyz	-150.14035800000002	78.11124000000001	12	NoFormulaMatching
CH3C7N	H3C8N1	1Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/CH3C7N_1Ap.xyz	-360.2683	113.11582	12	NoFormulaMatching
HC10N	H1C10N1	3Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/HC10N_3Sigma.xyz	-434.93330999999995	135.12153999999998	12	NoFormulaMatching
C10N2	C10N2	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C10N2_1Sigma.xyz	-489.030958	148.1204	12	NoFormulaMatching
