name	formula	state	pwd_xyz	energy	Mass	Na
PH	ERROR	3Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/PH_3Sigma.xyz	-341.435777	0.0	0
SO	ERROR	3Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/SO_3Sigma.xyz	-472.826256	0.0	0
MgH	ERROR	2Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/MgH_2Sigma.xyz	-200.198039	0.0	0
SiNC	ERROR	2Pi	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/SiNC_2Pi.xyz	-381.671041	0.0	0
SiN	ERROR	2Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/SiN_2Sigma.xyz	-343.610249	0.0	0
SiO2	ERROR	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/SiO2_1Sigma.xyz	-439.347195	0.0	0
c-SiC2H2	ERROR	1A1	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/c-SiC2H2_1A1.xyz	-366.241741	0.0	0
C2S	ERROR	3Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C2S_3Sigma.xyz	-473.634262	0.0	0
C3S	ERROR	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C3S_1Sigma.xyz	-511.688215	0.0	0
SiO	ERROR	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/SiO_1Sigma.xyz	-364.208093	0.0	0
SiH3	ERROR	2Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/SiH3_2Ap.xyz	-290.790730	0.0	0
SiC3H5	ERROR	2Ap	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/SiC3H5_2Ap.xyz	-405.939901	0.0	0
H	H1	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/H_1Sigma.xyz	-0.499810	1.00784	1
C	C1	3Pi	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C_3Pi.xyz	-37.780762	12.0107	1
N	N1	4Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/N_4Sigma.xyz	-54.514707	14.0067	1
O	O1	3Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/O_3Sigma.xyz	-74.973962	15.999	1
H2	H2	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/H2_1Sigma.xyz	-1.172636	2.01568	2
CH	H1C1	2Pi	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/CH_2Pi.xyz	-38.412659	13.01854	2
NH	H1N1	3Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/NH_3Sigma.xyz	-55.144774	15.01454	2
OH	H1O1	2Pi	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/OH_2Pi.xyz	-75.645398	17.00684	2
C2	C2	1Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/C2_1Sigma.xyz	-75.786379	24.0214	2
CN	C1N1	2Sigma	/Users/tinaccil/Documents/GitHub/woon_query/xyz_files/CN_2Sigma.xyz	-92.571785	26.017400000000002	2
